centroid_lat,centroid_lon,height_m,material_type,attenuation_db,footprint_area_m2
33.9735301,71.442878,,concrete,20,0.0
33.9937691,71.4364819,,concrete,20,0.0
33.9714924,71.4314736,,concrete,20,0.0
33.9724319,71.4278646,,wood,6,0.0
34.0166964,71.5538833,,concrete,20,0.0
34.0080067,71.5476179,,concrete,20,0.0
34.0077175,71.545804,,concrete,20,0.0
34.0150594,71.574942,,concrete,20,0.0
34.0162935,71.5931906,,concrete,20,0.0
34.0161683,71.5953828,,concrete,20,0.0
34.016159,71.5957607,,concrete,20,0.0
34.0152819,71.5988586,,concrete,20,0.0
34.01005,71.5595909,,wood,6,0.0
34.002858,71.4854104,,concrete,20,0.0
33.961002,71.5424371,,concrete,20,0.0
33.9625061,71.5432567,,concrete,20,0.0
33.9651295,71.5214039,,concrete,20,0.0
34.0029614,71.5001521,,glass,12,0.0
33.9570133,71.6137846,,concrete,20,0.0
33.9997163,71.4947513,,glass,12,0.0
34.0111804,71.4759531,,concrete,20,0.0
33.9560863,71.4322961,,concrete,20,0.0
33.9509812,71.4308257,,concrete,20,0.0
34.0005081,71.4744852,,concrete,20,0.0
33.9956203,71.478336,,concrete,20,0.0
33.9560328,71.4939171,,concrete,20,0.0
33.9594636,71.5023297,,concrete,20,0.0
33.9575421,71.4954293,,concrete,20,0.0
33.9567295,71.5013703,,concrete,20,0.0
33.9972367,71.4247843,,concrete,20,0.0
33.9824777,71.4511392,,concrete,20,0.0
33.9640538,71.4998345,,concrete,20,0.0
33.997048,71.5376543,,concrete,20,0.0
34.0040386,71.5565677,,concrete,20,0.0
34.0055244,71.5085767,,concrete,20,0.0
33.9729313,71.4789043,,concrete,20,0.0
33.9775003,71.423244,,concrete,20,0.0
33.9779587,71.4351959,,glass,12,0.0
34.0132648,71.5978215,,concrete,20,0.0
34.01366186646225,71.57220602382985,,concrete,20,2179.8884569747092
34.013307182630875,71.56439606608073,,concrete,20,4169.059332833186
34.01361604023562,71.53468835700147,,concrete,20,8507.168936924674
34.010149186881904,71.57047592360257,,concrete,20,8172.526225830079
34.008958314474356,71.56792961623016,,concrete,20,4283.945678021243
34.00134586012149,71.47679703589274,42.58,concrete,20,1539.2136719546997
34.00611289746589,71.48452932583727,,concrete,20,5193.541636907507
34.006968117023305,71.48442886130313,,concrete,20,2442.760619246643
34.00421547855502,71.4845385345605,,concrete,20,4661.458211515013
34.003328494836346,71.47923943685426,,concrete,20,3206.0140247126174
34.00434455445068,71.47885279378146,50.79,concrete,20,2917.775894970072
34.0043340352009,71.47728752605478,,concrete,20,1851.422494251223
34.00305625710558,71.47756539592649,,concrete,20,1337.7812359242157
34.00187951588038,71.47671718690293,42.58,concrete,20,1923.440239260776
34.001848273369205,71.47586145216897,42.58,concrete,20,1631.5426864982915
34.00075018829442,71.47840144438486,,concrete,20,1237.6176099626387
34.002003225226886,71.48072406773476,42.58,concrete,20,1518.336906053173
34.001972035545435,71.48006055117617,42.58,concrete,20,1607.599191201443
34.001969542820994,71.47936879379988,42.58,concrete,20,1289.0799023409659
34.0019243190292,71.47865475957428,,concrete,20,1596.9533681205166
34.00436971247572,71.48075878358534,42.58,concrete,20,3021.802989752943
34.000635188218595,71.48961972867913,,concrete,20,3018.629617495711
34.0061918510282,71.48759784432139,,concrete,20,3129.239049700008
34.010047587324635,71.4861602589471,,concrete,20,3336.441953918792
34.00901591087107,71.48485255095076,,concrete,20,5320.92559823998
34.011935311301784,71.4842549199897,,concrete,20,3762.2387786927334
33.973490108106695,71.46862801421233,,concrete,20,3347.025697775876
33.99635572092724,71.47976774038713,,concrete,20,2032.3996896123713
33.99692514102205,71.48126342549361,7.0,concrete,20,4747.31521937299
33.99654374870191,71.48413240024249,,concrete,20,1384.8576672463234
33.997001316559114,71.48780766274281,,concrete,20,2453.9146681826473
33.996432243551105,71.48779484791412,,concrete,20,2127.01261001889
34.02127759305324,71.48359500282096,,concrete,20,4843.18919265795
34.02265114932104,71.48367303786164,,concrete,20,5095.8572845027265
34.01062643169439,71.57317852801539,,concrete,20,1147.3229505239376
33.99550260189711,71.43592497657144,,concrete,20,2354.7411750244137
33.99601736290815,71.48965605013642,,concrete,20,1119.1740379859743
34.00892515818566,71.58057805457044,,concrete,20,641.1767090138026
34.00815534575451,71.58062814321958,,concrete,20,443.4435263394488
34.012973046907995,71.56987331946851,,concrete,20,8359.139188709443
33.99601628943273,71.54018996830432,,concrete,20,1711.5855930652754
33.99624809016037,71.54155474907213,,concrete,20,1245.257279618976
34.000840878926226,71.54504877449857,,concrete,20,22500.91281023893
34.000734449963744,71.49856993495028,,concrete,20,2634.6541372634674
34.00080003387046,71.49814059223625,,concrete,20,594.3300131126714
34.00685431338284,71.50898832328625,,concrete,20,1506.8393358462965
34.00885422609282,71.5833784469715,,concrete,20,751.5673903224424
34.00342246786812,71.56057644345455,,concrete,20,413.6925034036103
34.031154699999995,71.57688189999999,,concrete,20,1271.29259012031
34.03134420816433,71.57709261130995,,concrete,20,1226.3009790679985
34.03152335,71.5772932,,concrete,20,1229.0584865589067
34.03170528792724,71.57749448661563,,concrete,20,1240.8578887062463
34.03187961386708,71.57770635685515,,concrete,20,1158.1934695808495
34.030975250000004,71.57666635000001,,concrete,20,1263.7787384976189
34.02423962252598,71.55832393100748,14.0,glass,12,3218.916121985053
34.015979957401164,71.56409302168912,,concrete,20,3584.8141785376315
34.00129799310492,71.54266548087358,,concrete,20,5117.634918194592
33.947269029599425,71.43378771582061,,concrete,20,3252.2986514065633
33.994644960985106,71.49210999968633,,concrete,20,3586.417168536178
33.988835581241105,71.52913929829457,,concrete,20,6498.50459705347
33.99615107351845,71.48383799791861,,concrete,20,1703.2956845811048
33.998822977213884,71.4946731100466,,concrete,20,1442.429187798306
34.0005029744605,71.49762297488249,,concrete,20,2117.835482446666
33.999456961771926,71.49596142678546,,concrete,20,976.1803774582329
33.99907680210116,71.49537516750063,,concrete,20,1540.7358721601686
34.000602126313915,71.48583411208308,,concrete,20,209.2285047297277
34.0006697,71.4848653,,concrete,20,401.7923452767021
34.000890649999995,71.48489800000002,10.5,concrete,20,545.9226470046162
34.002797250676615,71.4852894735118,,concrete,20,1350.2962554529274
34.003284275110545,71.48591678883986,,concrete,20,1063.91307771526
34.00327482339143,71.48546118932752,,concrete,20,782.003150901296
34.00076483938803,71.48581960559127,,concrete,20,131.6209660733593
34.000873624867474,71.48580842777845,,concrete,20,94.64453690620866
34.00337900340875,71.48510352543826,,concrete,20,376.0463708759295
